Title,Location,Price,Area
                        Apartment Loosduinse Uitleg                            ,            2553 AV Den Haag (Kom Loosduinen)        ,"                €1,275 per month            ",116 m²
                        Apartment Vrederustlaan                            ,            2543 TC Den Haag (Dreven en Gaarden)        ,"                €1,225 per month            ",83 m²
                        Apartment Vrederustlaan                            ,            2543 TC Den Haag (Dreven en Gaarden)        ,"                €1,195 per month            ",88 m²
                        Apartment Loevesteinlaan                            ,            2533 AM Den Haag (Morgenstond-Oost)        ,"                €1,425 per month            ",87 m²
                        Apartment Molenstraat                            ,            2513 BH Den Haag (Kortenbos)        ,"                €1,585 per month            ",37 m²
                        Apartment Weimarstraat                            ,            2562 HB Den Haag (Koningsplein en omgeving)        ,"                €1,450 per month            ",72 m²
                        Apartment Zwedenburg                            ,            2591 BG Den Haag (Burgen en Horsten)        ,"                €1,250 per month            ",82 m²
                        House Theresiastraat                            ,            2593 AM Den Haag (Bezuidenhout-Oost)        ,"                €1,375 per month            ",78 m²
                        Apartment Fijnjekade                            ,            2521 DV Den Haag (Laakhaven-Oost)        ,"                €1,350 per month            ",76 m²
                        Apartment Reinwardtstraat                            ,            2522 AA Den Haag (Laakkwartier-Oost)        ,"                €1,850 per month            ",73 m²
                        House Bazarstraat                            ,            2518 AE Den Haag (Zeeheldenkwartier)        ,"                €1,895 per month            ",92 m²
                        House Prins Hendrikstraat                            ,            2518 HL Den Haag (Zeeheldenkwartier)        ,                €925 per month            ,29 m²
                        Apartment Joan Maetsuyckerstraat 49                            ,            2593 ZD Den Haag (Bezuidenhout-Oost)        ,"                €1,900 per month            ",97 m²
                        Apartment Goudenregenstraat 84                            ,            2565 EZ Den Haag (Bloemenbuurt-Oost)        ,"                €1,750 per month            ",104 m²
                        Apartment Van Speijkstraat                            ,            2518 GJ Den Haag (Zeeheldenkwartier)        ,"                €1,200 per month            ",40 m²
                        Apartment Margarethaland 267                            ,            2591 VA Den Haag (Landen)        ,"                €1,350 per month            ",75 m²
                        Apartment Lange Beestenmarkt 18                            ,            2512 EG Den Haag (Zuidwal)        ,"                €1,800 per month            ",100 m²
                        Apartment Schuytstraat 30 A                            ,            2517 XG Den Haag (Sweelinckplein en omgeving)        ,"                €1,395 per month            ",60 m²
                        Apartment Riouwstraat                            ,            2585 GR Den Haag (Archipelbuurt)        ,"                €3,100 per month            ",234 m²
                        Apartment Oudemansstraat                            ,            2522 SR Den Haag (Laakkwartier-Oost)        ,"                €1,100 per month            ",91 m²
                        Apartment Appelstraat                            ,            2564 EA Den Haag (Vruchtenbuurt)        ,"                €1,950 per month            ",160 m²
                        Apartment Regentesselaan                            ,            2562 CM Den Haag (Koningsplein en omgeving)        ,                €675 per month            ,30 m²
                        Apartment Zuiderparklaan 65                            ,            2574 HB Den Haag (Oostbroek-Noord)        ,                €975 per month            ,60 m²
                        Apartment Obrechtstraat 106                            ,            2517 VX Den Haag (Sweelinckplein en omgeving)        ,"                €1,500 per month            ",61 m²
                        House Bleijenburg                            ,            2511 VC Den Haag (Voorhout)        ,"                €1,500 per month            ",55 m²
                        Studio Trompstraat 75 F                            ,            2518 BM Den Haag (Zeeheldenkwartier)        ,                €975 per month            ,40 m²
                        Apartment Campanulastraat 79                            ,            2555 DC Den Haag (Bohemen en Meer en Bos)        ,"                €1,650 per month            ",81 m²
                        Apartment Badhuisweg                            ,            2597 JP Den Haag (Duttendel)        ,"                €1,050 per month            ",25 m²
                        Apartment Parelmoerhorst 302                            ,            2592 SL Den Haag (Burgen en Horsten)        ,"                €1,300 per month            ",74 m²
                        House Claude Debussystraat                            ,            2551 ZV Den Haag (Nieuw Waldeck)        ,"                €2,695 per month            ",115 m²
